日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウェイト,ニューインデックス区分,調整係数対象銘柄
20211230,極洋,1301,水産・農林業,0.000054,TOPIX Small 2,
20211230,日水,1332,水産・農林業,0.000271,TOPIX Mid400,
20211230,マルハニチロ,1333,水産・農林業,0.000188,TOPIX Mid400,
20211230,ホウスイ,1352,卸売業,0.000002,TOPIX Small 2,
20211230,雪国まいたけ,1375,水産・農林業,0.000044,TOPIX Small 1,
20211230,カネコ種苗,1376,水産・農林業,0.000023,TOPIX Small 2,○
20211230,サカタのタネ,1377,水産・農林業,0.000195,TOPIX Small 1,
20211230,ホクト,1379,水産・農林業,0.00008,TOPIX Small 1,
20211230,ホクリヨウ,1384,水産・農林業,0.000005,TOPIX Small 2,
20211230,ヒノキヤグループ,1413,建設業,0.000024,TOPIX Small 2,
20211230,ショーボンド,1414,建設業,0.000368,TOPIX Mid400,
20211230,ミライトＨＤ,1417,建設業,0.000304,TOPIX Mid400,
20211230,タマホーム,1419,建設業,0.00007,TOPIX Small 1,
20211230,サンヨーＨ,1420,建設業,0.000004,TOPIX Small 2,
20211230,日本アクア,1429,建設業,0.000014,TOPIX Small 2,
20211230,ファーストコーポ,1430,建設業,0.000011,TOPIX Small 2,
20211230,ベステラ,1433,建設業,0.000013,TOPIX Small 2,
20211230,Ｒｏｂｏｔ　Ｈｏｍｅ,1435,建設業,0.000019,TOPIX Small 2,
20211230,キャンディル,1446,建設業,0.000004,TOPIX Small 2,
20211230,スペースバリューＨＤ,1448,建設業,0.00006,TOPIX Small 2,
20211230,住石ＨＤ,1514,鉱業,0.000012,TOPIX Small 2,
20211230,日鉄鉱,1515,鉱業,0.000075,TOPIX Small 2,
20211230,三井松島ＨＤ,1518,鉱業,0.000039,TOPIX Small 2,
20211230,ＩＮＰＥＸ,1605,鉱業,0.002003,TOPIX Mid400,
20211230,石油資源,1662,鉱業,0.000147,TOPIX Small 1,
20211230,Ｋ＆Ｏエナジー,1663,鉱業,0.000032,TOPIX Small 2,
20211230,ダイセキＳ,1712,建設業,0.000016,TOPIX Small 2,
20211230,第一カッター,1716,建設業,0.000016,TOPIX Small 2,
20211230,明豊ファシリティ,1717,サービス業,0.000013,TOPIX Small 2,
20211230,安藤ハザマ,1719,建設業,0.000214,TOPIX Small 1,
20211230,東急建設,1720,建設業,0.000097,TOPIX Small 1,
20211230,コムシスＨＤ,1721,建設業,0.000411,TOPIX Mid400,
20211230,Ｂｒ．ＨＤ,1726,建設業,0.000024,TOPIX Small 2,
20211230,高松Ｇ,1762,建設業,0.000061,TOPIX Small 2,
20211230,東建コーポ,1766,建設業,0.000145,TOPIX Small 1,
20211230,ソネック,1768,建設業,0.000005,TOPIX Small 2,○
20211230,ヤマウラ,1780,建設業,0.000023,TOPIX Small 2,
20211230,オリエンタル白石,1786,建設業,0.000039,TOPIX Small 1,
20211230,大成建,1801,建設業,0.001162,TOPIX Mid400,
20211230,大林組,1802,建設業,0.001024,TOPIX Mid400,
20211230,清水建,1803,建設業,0.000769,TOPIX Mid400,
20211230,飛島建,1805,建設業,0.000031,TOPIX Small 2,
20211230,長谷工,1808,建設業,0.000489,TOPIX Mid400,
20211230,松井建,1810,建設業,0.000035,TOPIX Small 2,
20211230,銭高組,1811,建設業,0.00002,TOPIX Small 2,
20211230,鹿島,1812,建設業,0.001114,TOPIX Mid400,
20211230,不動テトラ,1813,建設業,0.000041,TOPIX Small 1,
20211230,大末建,1814,建設業,0.000017,TOPIX Small 2,
20211230,鉄建建設,1815,建設業,0.000045,TOPIX Small 2,
20211230,西松建,1820,建設業,0.000254,TOPIX Mid400,
20211230,三住建設,1821,建設業,0.000111,TOPIX Small 1,
20211230,大豊建,1822,建設業,0.000067,TOPIX Small 1,
20211230,佐田建,1826,建設業,0.000012,TOPIX Small 2,
20211230,ナカノフドー,1827,建設業,0.000009,TOPIX Small 2,
20211230,奥村組,1833,建設業,0.000219,TOPIX Small 1,
20211230,東鉄工,1835,建設業,0.000134,TOPIX Small 1,
20211230,イチケン,1847,建設業,0.000016,TOPIX Small 2,
20211230,富士ピー・エス,1848,建設業,0.000007,TOPIX Small 2,
20211230,浅沼組,1852,建設業,0.000071,TOPIX Small 1,
20211230,戸田建,1860,建設業,0.000348,TOPIX Mid400,
20211230,熊谷組,1861,建設業,0.000168,TOPIX Small 1,
20211230,北野建,1866,建設業,0.000014,TOPIX Small 2,
20211230,植木組,1867,建設業,0.000015,TOPIX Small 2,
20211230,矢作建,1870,建設業,0.000039,TOPIX Small 2,
20211230,ＰＳ三菱,1871,建設業,0.000023,TOPIX Small 2,
20211230,日本ハウスＨＤ,1873,建設業,0.00004,TOPIX Small 2,
20211230,大東建,1878,建設業,0.001551,TOPIX Mid400,
20211230,新日本建,1879,建設業,0.00004,TOPIX Small 2,
20211230,ＮＩＰＰＯ,1881,建設業,0.00038,TOPIX Small 1,
20211230,東亜道,1882,建設業,0.000029,TOPIX Small 2,
20211230,日道路,1884,建設業,0.000092,TOPIX Small 2,
20211230,東亜建,1885,建設業,0.000068,TOPIX Small 1,
20211230,日本国土開発,1887,建設業,0.000063,TOPIX Small 1,
20211230,若築建,1888,建設業,0.000036,TOPIX Small 2,
20211230,東洋建,1890,建設業,0.000075,TOPIX Small 1,
20211230,五洋建,1893,建設業,0.000297,TOPIX Mid400,
20211230,世紀東急,1898,建設業,0.000045,TOPIX Small 2,
20211230,福田組,1899,建設業,0.000053,TOPIX Small 2,
20211230,日本ドライケミカル,1909,機械,0.000018,TOPIX Small 2,
20211230,住友林,1911,建設業,0.000655,TOPIX Mid400,
20211230,日基礎,1914,建設業,0.000018,TOPIX Small 2,
20211230,巴,1921,建設業,0.000024,TOPIX Small 2,
20211230,大和ハウス,1925,建設業,0.003515,TOPIX Large70,
20211230,ライト工,1926,建設業,0.000144,TOPIX Small 1,
20211230,積水ハウス,1928,建設業,0.003082,TOPIX Large70,
20211230,日特建,1929,建設業,0.000016,TOPIX Small 2,
20211230,北陸電工,1930,建設業,0.000022,TOPIX Small 2,
20211230,ユアテック,1934,建設業,0.000044,TOPIX Small 2,
20211230,日リーテック,1938,建設業,0.000037,TOPIX Small 2,○
20211230,四電工,1939,建設業,0.000021,TOPIX Small 2,○
20211230,中電工,1941,建設業,0.000113,TOPIX Small 1,
20211230,関電工,1942,建設業,0.00016,TOPIX Small 1,
20211230,きんでん,1944,建設業,0.000444,TOPIX Mid400,
20211230,東京エネシス,1945,建設業,0.000042,TOPIX Small 2,
20211230,トーエネック,1946,建設業,0.000039,TOPIX Small 2,○
20211230,住友電設,1949,建設業,0.000059,TOPIX Small 2,
20211230,日本電設,1950,建設業,0.000105,TOPIX Small 1,
20211230,エクシオグループ,1951,建設業,0.000419,TOPIX Mid400,
20211230,新日空調,1952,建設業,0.000073,TOPIX Small 2,
20211230,日工営,1954,サービス業,0.000066,TOPIX Small 2,
20211230,九電工,1959,建設業,0.000315,TOPIX Mid400,
20211230,三機工,1961,建設業,0.000108,TOPIX Small 1,
20211230,日揮ＨＤ,1963,建設業,0.000341,TOPIX Mid400,
20211230,中外炉,1964,建設業,0.000019,TOPIX Small 2,
20211230,ヤマト,1967,建設業,0.000026,TOPIX Small 2,
20211230,太平電,1968,建設業,0.000073,TOPIX Small 2,
20211230,高砂熱,1969,建設業,0.000197,TOPIX Small 1,
20211230,三晃金,1972,建設業,0.000011,TOPIX Small 2,
20211230,ＮＥＳＩＣ,1973,情報・通信業,0.000215,TOPIX Small 1,
20211230,朝日工,1975,建設業,0.000024,TOPIX Small 2,
20211230,明星工業,1976,建設業,0.000056,TOPIX Small 2,
20211230,大気社,1979,建設業,0.000175,TOPIX Small 1,
20211230,ダイダン,1980,建設業,0.000059,TOPIX Small 2,○
20211230,日比谷設,1982,建設業,0.000076,TOPIX Small 2,
20211230,ニップン,2001,食料品,0.000178,TOPIX Small 1,
20211230,日清粉Ｇ,2002,食料品,0.00069,TOPIX Mid400,
20211230,日東富士,2003,食料品,0.00002,TOPIX Small 2,
20211230,昭和産,2004,食料品,0.000093,TOPIX Small 2,○
20211230,鳥越粉,2009,食料品,0.000022,TOPIX Small 2,
20211230,中部飼料,2053,食料品,0.000041,TOPIX Small 2,
20211230,フィード・ワン,2060,食料品,0.000035,TOPIX Small 2,
20211230,洋糖,2107,食料品,0.000006,TOPIX Small 2,
20211230,甜菜糖,2108,食料品,0.000033,TOPIX Small 2,
20211230,ＤＭ三井製糖ＨＤ,2109,食料品,0.000065,TOPIX Small 2,
20211230,塩水糖,2112,食料品,0.000009,TOPIX Small 2,
20211230,日新製糖,2117,食料品,0.00003,TOPIX Small 2,○
20211230,ＬＩＦＵＬＬ,2120,サービス業,0.000026,TOPIX Small 2,
20211230,ミクシィ,2121,サービス業,0.000162,TOPIX Small 1,
20211230,ＪＡＣ,2124,サービス業,0.000059,TOPIX Small 1,
20211230,日本Ｍ＆Ａ,2127,サービス業,0.001623,TOPIX Mid400,
20211230,メンバーズ,2130,サービス業,0.000025,TOPIX Small 2,
20211230,中広,2139,サービス業,0.000002,TOPIX Small 2,
20211230,ＵＴグループ,2146,サービス業,0.000219,TOPIX Small 1,
20211230,ＩＴＭ,2148,サービス業,0.000031,TOPIX Small 2,
20211230,イージェイＨＤ,2153,サービス業,0.000023,TOPIX Small 2,
20211230,夢真ビーネックスＧ,2154,サービス業,0.000158,TOPIX Small 1,
20211230,コシダカＨＤ,2157,サービス業,0.000057,TOPIX Small 1,
20211230,アルトナー,2163,サービス業,0.000007,TOPIX Small 2,
20211230,パソナグループ,2168,サービス業,0.000125,TOPIX Small 1,
20211230,ＣＤＳ,2169,サービス業,0.000014,TOPIX Small 2,
20211230,ＬＩＮＫ＆Ｍ,2170,サービス業,0.000043,TOPIX Small 1,
20211230,ＳＭＳ,2175,サービス業,0.00054,TOPIX Mid400,
20211230,サニーサイドアップ,2180,サービス業,0.000009,TOPIX Small 2,
20211230,パーソルＨＤ,2181,サービス業,0.001171,TOPIX Mid400,
20211230,リニカル,2183,サービス業,0.000015,TOPIX Small 2,
20211230,ＣＯＯＫＰＡＤ,2193,サービス業,0.000029,TOPIX Small 2,
20211230,エスクリ,2196,サービス業,0.000007,TOPIX Small 2,
20211230,アイ・ケイ・ケイＨＤ,2198,サービス業,0.00001,TOPIX Small 2,
20211230,森永菓,2201,食料品,0.000325,TOPIX Mid400,
20211230,中村屋,2204,食料品,0.000032,TOPIX Small 2,
20211230,グリコ,2206,食料品,0.000371,TOPIX Mid400,
20211230,名糖産,2207,食料品,0.000028,TOPIX Small 2,○
20211230,井村屋Ｇ,2209,食料品,0.000047,TOPIX Small 2,
20211230,不二家,2211,食料品,0.000047,TOPIX Small 2,
20211230,山崎パン,2212,食料品,0.000422,TOPIX Mid400,
20211230,第一パン,2215,食料品,0.000004,TOPIX Small 2,
20211230,モロゾフ,2217,食料品,0.000035,TOPIX Small 2,
20211230,亀田菓,2220,食料品,0.00009,TOPIX Small 2,○
20211230,寿スピリッツ,2222,食料品,0.000195,TOPIX Small 1,
20211230,カルビー,2229,食料品,0.000448,TOPIX Mid400,
20211230,森永乳,2264,食料品,0.000372,TOPIX Mid400,
20211230,六甲バター,2266,食料品,0.000042,TOPIX Small 2,
20211230,ヤクルト,2267,食料品,0.001637,TOPIX Mid400,
20211230,明治ＨＤ,2269,食料品,0.001671,TOPIX Mid400,
20211230,雪印メグ,2270,食料品,0.000176,TOPIX Mid400,
20211230,プリマハム,2281,食料品,0.000114,TOPIX Small 1,
20211230,日ハム,2282,食料品,0.000583,TOPIX Mid400,
20211230,林兼産,2286,食料品,0.000006,TOPIX Small 2,
20211230,丸大食,2288,食料品,0.000055,TOPIX Small 2,
20211230,Ｓ　ＦＯＯＤＳ,2292,食料品,0.000115,TOPIX Small 1,
20211230,柿安本店,2294,食料品,0.000036,TOPIX Small 2,○
20211230,伊藤ハム米久ＨＤ,2296,食料品,0.000156,TOPIX Small 1,
20211230,学情,2301,サービス業,0.000015,TOPIX Small 2,
20211230,スタジオアリス,2305,サービス業,0.000034,TOPIX Small 2,
20211230,クロスキャット,2307,情報・通信業,0.000018,TOPIX Small 2,
20211230,シミックＨＤ,2309,サービス業,0.00003,TOPIX Small 2,
20211230,エプコ,2311,サービス業,0.000006,TOPIX Small 2,
20211230,システナ,2317,情報・通信業,0.000221,TOPIX Small 1,
20211230,ＮＪＳ,2325,サービス業,0.000015,TOPIX Small 2,○
20211230,デジアーツ,2326,情報・通信業,0.000163,TOPIX Small 1,
20211230,ＮＳＳＯＬ,2327,情報・通信業,0.000185,TOPIX Small 1,
20211230,ＡＬＳＯＫ,2331,サービス業,0.000638,TOPIX Mid400,
20211230,キューブシステム,2335,情報・通信業,0.000019,TOPIX Small 2,
20211230,いちご,2337,不動産業,0.000113,TOPIX Small 1,
20211230,ワオワールド,2352,情報・通信業,0.000008,TOPIX Small 2,
20211230,日駐,2353,不動産業,0.000055,TOPIX Small 1,
20211230,コア,2359,情報・通信業,0.000025,TOPIX Small 2,
20211230,カカクコム,2371,サービス業,0.00079,TOPIX Mid400,
20211230,アイロムＧ,2372,サービス業,0.000021,TOPIX Small 2,
20211230,セントケアＨＤ,2374,サービス業,0.000018,TOPIX Small 2,
20211230,サイネックス,2376,サービス業,0.000004,TOPIX Small 2,
20211230,ルネサンス,2378,サービス業,0.000027,TOPIX Small 2,
20211230,ディップ,2379,サービス業,0.000241,TOPIX Small 1,
20211230,ＳＢＳＨＤ,2384,陸運業,0.000089,TOPIX Small 1,
20211230,デジタルＨＤ,2389,サービス業,0.000032,TOPIX Small 2,
20211230,新日科学,2395,サービス業,0.000061,TOPIX Small 2,
20211230,キャリアＤＣ,2410,サービス業,0.000009,TOPIX Small 2,
20211230,ベネ・ワン,2412,サービス業,0.00063,TOPIX Mid400,
20211230,エムスリー,2413,サービス業,0.003584,TOPIX Large70,
20211230,ツカダグローバルＨＤ,2418,サービス業,0.000007,TOPIX Small 2,
20211230,ブラス,2424,サービス業,0.000004,TOPIX Small 2,
20211230,アウトソシング,2427,サービス業,0.000311,TOPIX Mid400,
20211230,ウェルネット,2428,サービス業,0.000016,TOPIX Small 2,
20211230,ワールドＨＤ,2429,サービス業,0.000036,TOPIX Small 2,
20211230,ディーエヌエー,2432,サービス業,0.000236,TOPIX Mid400,
20211230,博報堂ＤＹ,2433,サービス業,0.000935,TOPIX Mid400,
20211230,ぐるなび,2440,サービス業,0.000024,TOPIX Small 2,
20211230,タカミヤ,2445,サービス業,0.000019,TOPIX Small 2,
20211230,ＪＢＲ,2453,サービス業,0.000025,TOPIX Small 2,
20211230,ファンコミ,2461,サービス業,0.000034,TOPIX Small 2,
20211230,ライク,2462,サービス業,0.000017,TOPIX Small 2,
20211230,ＢＢＴ,2464,サービス業,0.000006,TOPIX Small 2,
20211230,エスプール,2471,サービス業,0.000121,TOPIX Small 1,
